tags,tag_count,similar_tracks,tracks_count
pop,3720.0,Love,2191
rock,2681.0,Awesome,2152
alternative,2249.0,Favorite,1788
Love,2071.0,Hip-Hop,1742
Awesome,2031.0,beautiful,1311
MySpotigramBot,1865.0,cool,916
indie,1834.0,Mellow,783
american,1742.0,summer,708
favorites,1657.0,Ballad,673
Favorite,1625.0,Toxic,611
rap,1575.0,Masterpiece,571
electronic,1538.0,Love it,519
Hip-Hop,1536.0,funk,510
dance,1500.0,memories,505
alternative rock,1486.0,Antidote,498
rnb,1482.0,<3,482
love at first listen,1351.0,Bags,480
male vocalists,1319.0,nostalgia,474
female vocalists,1223.0,greedy,471
pop rock,1212.0,House,448
beautiful,1207.0,500lbs,441
chill,1191.0,20 Min,415
2010s,1171.0,Hung Up,413
hip hop,1170.0,perfect,408
indie rock,1082.0,Disco,401
indie pop,1079.0,Houdini,381
singer-songwriter,1003.0,Good Looking,379
seen live,995.0,Moonlight,377
amazing,991.0,The Creator),365
party,978.0,The Box,364
catchy,934.0,Closer,362
trap,923.0,Boyfriend,358
cool,916.0,Drive,355
favorite songs,903.0,Unwritten,348
soul,882.0,redrum,346
Favourites,877.0,One of Your Girls,345
00s,872.0,UK,344
chillout,861.0,Hurricane,344
sexy,848.0,Evil,342
male vocalist,831.0,Say My Name,340
favourite,811.0,Don't,339
classic,798.0,Body,337
electropop,795.0,Sofia,334
female vocalist,787.0,Dreamy,331
sad,783.0,Reborn,326
Mellow,783.0,Red Wine Supernova,324
pop rap,777.0,Everlong,323
epic,776.0,Guilty Pleasures,322
10s,776.0,On My Mama,320
classic rock,732.0,BANDIT,320
90s,705.0,Alone,317
fun,697.0,California,317
happy,689.0,Monster,312
summer,686.0,Good Luck,311
british,681.0,Twilight,311
synthpop,668.0,a lot,310
Ballad,656.0,Say My Grace (feat. Travis Scott),310
2000s,642.0,lovely,308
hard rock,626.0,Murder on the Dancefloor,308
loved,620.0,Supercut,307
Toxic,616.0,Training Season,305
soft rock,610.0,Fire,304
guitar,608.0,Complicated,304
dance-pop,607.0,River,303
folk,601.0,Maneater,302
Soundtrack,598.0,Walkin,299
punk,590.0,Gimme More,294
-1001819731063,588.0,Babe!,292
experimental,570.0,drive ME crazy!,292
80s,559.0,3500 (feat. Future & 2 Chainz),292
Masterpiece,558.0,Alright,291
emo,556.0,Taking A Walk,291
upbeat,544.0,Mr. Brightside,290
alternative rnb,534.0,Burn,290
k-pop,530.0,sex,288
dream pop,523.0,Florida!!! (Feat. Florence + The Machine),288
Love it,519.0,Shameless,288
easy listening,519.0,Telephones,287
fav,516.0,Night Shift,286
USA,514.0,Without Me,286
2020s,511.0,Love You Like a Love Song,286
funk,509.0,Colors,285
melancholy,506.0,EA (Feat. 21 Savage),285
memories,505.0,No Idea,285
fip,504.0,Agora Hills,283
acoustic,499.0,Pretty Girls,282
metal,496.0,Water,278
FUCKING AWESOME,486.0,Make You Mine,278
Kpop,474.0,Rich N***a Shit (feat. Young Thug),277
greedy,472.0,Mrs Magic,277
<3,471.0,I’m sorry,276
nostalgia,470.0,I miss you,276
psychedelic,467.0,That's My Girl,275
oldies,466.0,Cigarettes out the Window,273
r&b,459.0,Dreams,272
art pop,455.0,No L's,270
